id,name,description,topic_type,parent_topic_id,scope,organization_id,created_at,updated_at,display_order
1,Arrays,Linear contiguous data structure enabling indexed access and efficient iteration.,data_structure,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,1
2,Linked Lists,Node-based sequential structure where elements are connected via pointers.,data_structure,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,2
3,Stacks,"LIFO (Last-In-First-Out) structure used for recursion, parsing, and backtracking.",data_structure,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,3
4,Queues,FIFO (First-In-First-Out) structure commonly used in scheduling and traversal.,data_structure,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,4
5,Trees,Hierarchical structure with parent-child relationships for efficient organization.,data_structure,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,5
6,Graphs,Network structure consisting of vertices and edges modeling complex relationships.,data_structure,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,6
7,Sorting Algorithms,Algorithms that arrange elements in a specific order based on comparison or rules.,algorithm,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,7
8,Searching Algorithms,Algorithms designed to efficiently locate elements within datasets.,algorithm,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,8
9,Dynamic Programming,Optimization technique solving problems via overlapping subproblems and memoization.,algorithm,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,9
10,Greedy Algorithms,Strategy that builds solutions using locally optimal choices at each step.,algorithm,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,10
11,Backtracking,Systematic exploration of solution spaces using recursion and pruning.,algorithm,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,11
12,Sliding Window,Technique for processing subarrays or substrings using a moving window.,pattern,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,12
13,Two Pointers,Pattern using two indices to traverse data efficiently from different directions.,pattern,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,13
14,Prefix Sum,Precomputation technique enabling fast range-sum or cumulative queries.,pattern,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,14
15,Bit Manipulation,Low-level operations that manipulate binary representations of data.,pattern,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,15
16,Monotonic Stack,Stack structure maintaining sorted order for efficient range queries.,pattern,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,16
17,Top-K Elements,Techniques for efficiently identifying the largest or smallest K elements.,pattern,NULL,global,1,2026-02-08 14:20:26.613362+00,2026-02-08 14:20:26.613362+00,17
